Benchmark;Size;Score (ns/op)
"testAdd";10000;28474.761086576367
"testAdd";20000;49935.427067792174
"testAdd";30000;65704.83841076058
"testAdd";40000;87692.43544806723
"testAdd";50000;109549.86281445374
"testAdd";60000;131861.18939173422
"testAdd";70000;153709.4052013618
"testAdd";80000;175907.679963633
"testAdd";90000;200386.31767937358
"testAdd";100000;226031.99217812886
"testAddAll";10000;32830.062573318646
"testAddAll";20000;57964.035753593475
"testAddAll";30000;73216.2656431725
"testAddAll";40000;92307.8492225775
"testAddAll";50000;108601.99670730745
"testAddAll";60000;129525.82567848293
"testAddAll";70000;150689.94125331356
"testAddAll";80000;172404.01263914656
"testAddAll";90000;193910.56163424044
"testAddAll";100000;215482.7791297122
"testClear";10000;34348.00987616252
"testClear";20000;56912.336065008574
"testClear";30000;72283.75609060156
"testClear";40000;91269.58814190261
"testClear";50000;108807.14959657125
"testClear";60000;130232.6972132047
"testClear";70000;151828.9235373799
"testClear";80000;173897.97943826468
"testClear";90000;195625.96054567886
"testClear";100000;218787.26827904978
"testConstructorCapacity";10000;14.709722665211052
"testConstructorCapacity";20000;14.907535865742204
"testConstructorCapacity";30000;15.416674101680357
"testConstructorCapacity";40000;19.706835576613287
"testConstructorCapacity";50000;23.547006388583316
"testConstructorCapacity";60000;24.850870935135127
"testConstructorCapacity";70000;25.036590197577503
"testConstructorCapacity";80000;29.326504598708453
"testConstructorCapacity";90000;36.506151183978496
"testConstructorCapacity";100000;30.77885771670258
"testConstructorCollection";10000;34629.6456529417
"testConstructorCollection";20000;53828.345725827465
"testConstructorCollection";30000;75895.0629347031
"testConstructorCollection";40000;101312.29684139928
"testConstructorCollection";50000;127026.69982151897
"testConstructorCollection";60000;153397.32086860426
"testConstructorCollection";70000;178819.91711923588
"testConstructorCollection";80000;206889.42091384294
"testConstructorCollection";90000;232317.2584280072
"testConstructorCollection";100000;258111.27080264135
"testConstructorDefault";10000;16.81248264615854
"testConstructorDefault";20000;14.770925496900858
"testConstructorDefault";30000;15.215956266222614
"testConstructorDefault";40000;18.601172311549288
"testConstructorDefault";50000;21.32716024992348
"testConstructorDefault";60000;25.406115190073244
"testConstructorDefault";70000;25.903733199755322
"testConstructorDefault";80000;28.59066221705071
"testConstructorDefault";90000;33.119067575804806
"testConstructorDefault";100000;37.74259948000032
"testContains";10000;11800.131359845676
"testContains";20000;21932.879887175528
"testContains";30000;31554.681911580286
"testContains";40000;41203.122442409884
"testContains";50000;51398.659312121505
"testContains";60000;61650.33940555336
"testContains";70000;71820.40524123177
"testContains";80000;82350.65586584489
"testContains";90000;93133.61982284416
"testContains";100000;102671.12528983872
"testContainsAll";10000;90977.86470199928
"testContainsAll";20000;175569.6823189113
"testContainsAll";30000;294891.3115287113
"testContainsAll";40000;349415.6215051377
"testContainsAll";50000;507838.089004943
"testContainsAll";60000;592994.6124831932
"testContainsAll";70000;672637.1333760576
"testContainsAll";80000;743662.7936840616
"testContainsAll";90000;831623.7666902367
"testContainsAll";100000;1046612.0294532204
"testElement";10000;13.889301300729766
"testElement";20000;14.354535832151004
"testElement";30000;14.784883676931338
"testElement";40000;17.500753718253257
"testElement";50000;20.380591176556496
"testElement";60000;26.09918626703485
"testElement";70000;28.625088456504596
"testElement";80000;32.85042130644122
"testElement";90000;31.135390191040436
"testElement";100000;33.05507180264937
"testIsEmpty";10000;14.41958936412054
"testIsEmpty";20000;14.639466562488966
"testIsEmpty";30000;14.816922874980426
"testIsEmpty";40000;18.20409479604258
"testIsEmpty";50000;21.94839682141497
"testIsEmpty";60000;25.021051760750595
"testIsEmpty";70000;29.53422355656361
"testIsEmpty";80000;28.79638441475381
"testIsEmpty";90000;30.707545765359708
"testIsEmpty";100000;29.157321554625213
"testIterator";10000;21692.28922602669
"testIterator";20000;37427.30336503561
"testIterator";30000;46650.32052978717
"testIterator";40000;56844.357734608486
"testIterator";50000;71027.42496081724
"testIterator";60000;84647.09217387877
"testIterator";70000;97250.45798439423
"testIterator";80000;112329.73771176855
"testIterator";90000;126496.92299966833
"testIterator";100000;140864.86073489545
"testOffer";10000;28651.35972540838
"testOffer";20000;50198.715589203945
"testOffer";30000;65311.52330187762
"testOffer";40000;92011.4625544995
"testOffer";50000;118468.55421325404
"testOffer";60000;146291.13071175897
"testOffer";70000;172069.46009411605
"testOffer";80000;193943.17660335312
"testOffer";90000;221149.63245326848
"testOffer";100000;248053.23611921555
"testPeek";10000;14.826081643066852
"testPeek";20000;15.373889260944853
"testPeek";30000;16.46500824987124
"testPeek";40000;20.100733669913385
"testPeek";50000;22.920756727105932
"testPeek";60000;24.961224303583297
"testPeek";70000;28.653034606949312
"testPeek";80000;32.64734859421739
"testPeek";90000;39.68444113802995
"testPeek";100000;33.0195369790737
"testPoll";10000;36134.48236124888
"testPoll";20000;57932.28822334255
"testPoll";30000;74906.82328759509
