Size;Constructor();Constructor(int);Constructor(Collection);add(E);addAll(Collection);clear();contains(Object);containsAll(Collection);element();isEmpty();iterator();offer(E);peek();poll();remove();remove(Object);removeAll(Collection);retainAll(Collection);size();toArray();toArray(T[]);toString()
10000;17;15;34630;28475;32830;34348;11800;90978;14;14;21692;28651;15;36134;32473;46149;83368;91807;14;12662;15548;158131
20000;15;15;53828;49935;57964;56912;21933;175570;14;15;37427;50199;15;57932;56989;73969;158495;162838;15;25474;30895;358160
30000;15;15;75895;65705;73216;72284;31555;294891;15;15;46650;65312;16;74907;75194;99621;238545;244015;15;38552;44834;506848
40000;19;20;101312;87692;92308;91270;41203;349416;18;18;56844;92011;20;95477;95618;132828;301571;318809;19;51570;57278;638105
50000;21;24;127027;109550;108602;108807;51399;507838;20;22;71027;118469;23;114348;114122;168521;374812;410257;22;66571;74043;811424
60000;25;25;153397;131861;129526;130233;61650;592995;26;25;84647;146291;25;137553;138894;200823;455999;496182;26;79747;86429;1012445
70000;26;25;178820;153709;150690;151829;71820;672637;29;30;97250;172069;29;161263;161517;233376;548791;579754;27;88178;103620;1151707
80000;29;29;206889;175908;172404;173898;82351;743663;33;29;112330;193943;33;184024;185148;269336;651068;662864;31;100881;113728;1230155
90000;33;37;232317;200386;193911;195626;93134;831624;31;31;126497;221150;40;207160;207812;295147;721263;766353;31;118015;128765;1461014
100000;38;31;258111;226032;215483;218787;102671;1046612;33;29;140865;248053;33;232113;231912;331382;799514;815569;31;130396;143948;1744671
