Benchmark;Size;Score (ns/op)
"testAdd";10000;28617.296019168174
"testAdd";20000;55250.45604275907
"testAdd";30000;76561.35082322247
"testAdd";40000;107680.30036199163
"testAdd";50000;128612.20310862303
"testAdd";60000;153721.30475857214
"testAdd";70000;248953.91382822537
"testAdd";80000;216197.0020384915
"testAdd";90000;251649.78571551663
"testAdd";100000;273176.53172428656
"testAddAll";10000;25124.1862121623
"testAddAll";20000;47644.35543399479
"testAddAll";30000;71466.43316979623
"testAddAll";40000;97842.06890575025
"testAddAll";50000;122022.82700338232
"testAddAll";60000;220760.72159996105
"testAddAll";70000;235264.41415424095
"testAddAll";80000;193233.63921651084
"testAddAll";90000;205063.49145816732
"testAddAll";100000;225922.1132599426
"testClear";10000;26304.30462578108
"testClear";20000;52650.75704487867
"testClear";30000;77983.77813608322
"testClear";40000;104432.51234502757
"testClear";50000;127925.86313791794
"testClear";60000;150091.7017867945
"testClear";70000;172152.6065979594
"testClear";80000;193843.23550850432
"testClear";90000;213091.40574431093
"testClear";100000;231185.22655414697
"testConstructorCapacity";10000;974.7958223882806
"testConstructorCapacity";20000;1688.2013316346404
"testConstructorCapacity";30000;1850.8130450079104
"testConstructorCapacity";40000;2539.3514673255922
"testConstructorCapacity";50000;2604.863403253995
"testConstructorCapacity";60000;3448.7910906170414
"testConstructorCapacity";70000;5641.097075692463
"testConstructorCapacity";80000;5642.316033644725
"testConstructorCapacity";90000;5920.745338806907
"testConstructorCapacity";100000;6973.313842506962
"testConstructorCollection";10000;21752.414740045904
"testConstructorCollection";20000;41726.545156893524
"testConstructorCollection";30000;61252.08277193137
"testConstructorCollection";40000;90133.83804661961
"testConstructorCollection";50000;102163.5552774509
"testConstructorCollection";60000;126211.34104756343
"testConstructorCollection";70000;144495.85990765228
"testConstructorCollection";80000;174698.9923355664
"testConstructorCollection";90000;199799.07789782155
"testConstructorCollection";100000;218911.02080902582
"testConstructorDefault";10000;42.315761614866986
"testConstructorDefault";20000;36.60360950363948
"testConstructorDefault";30000;51.34504060748489
"testConstructorDefault";40000;27.150650901979958
"testConstructorDefault";50000;65.75340922786192
"testConstructorDefault";60000;28.153059008367805
"testConstructorDefault";70000;29.717693849040007
"testConstructorDefault";80000;50.45254103814491
"testConstructorDefault";90000;38.73756879715335
"testConstructorDefault";100000;39.19739928956021
"testContains";10000;2753.3252269112995
"testContains";20000;5895.824436266689
"testContains";30000;8491.170754514447
"testContains";40000;11565.114888000431
"testContains";50000;14472.099592258097
"testContains";60000;17170.325790560873
"testContains";70000;18954.61016305575
"testContains";80000;20581.73185888135
"testContains";90000;21976.932745726528
"testContains";100000;23762.62876376582
"testContainsAll";10000;10440.640140072368
"testContainsAll";20000;20766.209227586252
"testContainsAll";30000;30039.55020741541
"testContainsAll";40000;39571.24921825989
"testContainsAll";50000;48996.713845904975
"testContainsAll";60000;58894.42276651593
"testContainsAll";70000;68758.21517054488
"testContainsAll";80000;80392.05534672018
"testContainsAll";90000;94202.8856124202
"testContainsAll";100000;98362.34100047266
"testElement";10000;20.050020487169203
"testElement";20000;23.602762153413877
"testElement";30000;22.351956468871208
"testElement";40000;23.382361461817208
"testElement";50000;29.279772040617065
"testElement";60000;31.751672459541904
"testElement";70000;31.406434157407535
"testElement";80000;25.884419946739957
"testElement";90000;25.06117235785061
"testElement";100000;26.767978576667108
"testIsEmpty";10000;20.164559793616103
"testIsEmpty";20000;26.265777682080966
"testIsEmpty";30000;25.05558146902939
"testIsEmpty";40000;24.15732306146242
"testIsEmpty";50000;33.745939098537434
"testIsEmpty";60000;26.56825634978132
"testIsEmpty";70000;24.239156754498893
"testIsEmpty";80000;25.36838065255904
"testIsEmpty";90000;27.474640110516063
"testIsEmpty";100000;29.335335649514644
"testIterator";10000;5367.823881544755
"testIterator";20000;10007.092283491547
"testIterator";30000;15103.403439271771
"testIterator";40000;19831.749085735635
"testIterator";50000;24387.64577441879
"testIterator";60000;28018.92337181482
"testIterator";70000;33061.20531740454
"testIterator";80000;37056.260363481524
"testIterator";90000;38906.452082666634
"testIterator";100000;44790.091324774105
"testOffer";10000;27766.635514795653
"testOffer";20000;53204.501847253065
"testOffer";30000;76353.9603890007
"testOffer";40000;102876.73071373413
"testOffer";50000;126557.6406336485
"testOffer";60000;150346.21548977055
"testOffer";70000;182999.96707046032
"testOffer";80000;207451.62180688683
"testOffer";90000;243413.81758815292
"testOffer";100000;252088.09069652503
"testPeek";10000;20.91652688768414
"testPeek";20000;39.43931867569048
"testPeek";30000;26.822991010720795
"testPeek";40000;32.49403664545451
"testPeek";50000;24.93969207944923
"testPeek";60000;30.083894006517628
"testPeek";70000;24.729689164610573
"testPeek";80000;25.33855053626358
"testPeek";90000;28.773720991588778
"testPeek";100000;27.181669644662758
"testPoll";10000;18632.933797423946
"testPoll";20000;37077.72570738785
"testPoll";30000;54644.920270096605
"testPoll";40000;72213.39457503559
"testPoll";50000;91925.02831727569
"testPoll";60000;112082.41871276543
"testPoll";70000;130215.3769947739
"testPoll";80000;155116.01385968973
"testPoll";90000;173015.0750363525
"testPoll";100000;191308.18618323514
"testRemoveAll";10000;84600.16013111535
"testRemoveAll";20000;176637.36019397914
"testRemoveAll";30000;246301.81246214846
"testRemoveAll";40000;333989.4647632761
"testRemoveAll";50000;411874.1732515699
"testRemoveAll";60000;498061.0887637012
"testRemoveAll";70000;568757.0196984052
"testRemoveAll";80000;647492.3856325141
"testRemoveAll";90000;744667.681508516
"testRemoveAll";100000;850872.139871895
"testRemoveHead";10000;19046.461318527465
"testRemoveHead";20000;36185.55427953762
"testRemoveHead";30000;54288.5125058509
"testRemoveHead";40000;76698.73784763696
"testRemoveHead";50000;102642.98031463574
"testRemoveHead";60000;113182.63398310957
"testRemoveHead";70000;132539.34735649408
"testRemoveHead";80000;153985.37040555448
"testRemoveHead";90000;173401.6943883178
"testRemoveHead";100000;194016.26636831844
"testRemoveObject";10000;25783.53720456999
"testRemoveObject";20000;48810.218841380265
"testRemoveObject";30000;72685.31621504457
"testRemoveObject";40000;97253.81641082087
"testRemoveObject";50000;119762.9796752741
"testRemoveObject";60000;140404.12094911886
"testRemoveObject";70000;166047.9825835448
"testRemoveObject";80000;186169.3137384332
"testRemoveObject";90000;207251.33061812833
"testRemoveObject";100000;227824.421079774
"testRetainAll";10000;81030.4438713853
"testRetainAll";20000;155327.16519196526
"testRetainAll";30000;234604.48869463464
"testRetainAll";40000;311267.9996260743
"testRetainAll";50000;406480.4242232779
"testRetainAll";60000;497431.9441948237
"testRetainAll";70000;551401.1016659398
"testRetainAll";80000;771569.3824539756
"testRetainAll";90000;682816.1508026798
"testRetainAll";100000;777468.6043280385
"testSize";10000;21.475042969835386
"testSize";20000;39.08102547014399
"testSize";30000;24.462592553924548
"testSize";40000;27.30347065196503
"testSize";50000;24.351392815733817
"testSize";60000;39.64138479582598
"testSize";70000;29.18610217859305
"testSize";80000;29.780540716832235
"testSize";90000;27.460275630661375
"testSize";100000;28.998985561085377
"testToArray";10000;1076.2139269055676
"testToArray";20000;2492.345729580116
"testToArray";30000;4210.159558244125
"testToArray";40000;5745.23833065652
"testToArray";50000;6366.511556480086
"testToArray";60000;6924.985041976834
"testToArray";70000;9200.4344246024
"testToArray";80000;10573.672920602825
"testToArray";90000;11649.325844364823
"testToArray";100000;12702.793040189683
"testToArrayWithType";10000;6446.552447584119
"testToArrayWithType";20000;13309.130833693496
"testToArrayWithType";30000;20671.77260728038
"testToArrayWithType";40000;26679.61282202472
"testToArrayWithType";50000;32906.313896299645
"testToArrayWithType";60000;38751.08385689674
"testToArrayWithType";70000;45789.24551224408
"testToArrayWithType";80000;51697.749618227164
"testToArrayWithType";90000;59658.10935680044
"testToArrayWithType";100000;64166.312629963104
"testToString";10000;202280.96820760448
"testToString";20000;336153.57923695346
"testToString";30000;537527.7114185815
"testToString";40000;691325.8459201583
"testToString";50000;841814.8315490368
"testToString";60000;943219.0899915552
"testToString";70000;1281807.7572757918
"testToString";80000;1252966.3827493757
"testToString";90000;1428454.228612705
"testToString";100000;1554832.2495717155
