Size;Constructor();Constructor(int);Constructor(Collection);add(E);addAll(Collection);clear();contains(Object);containsAll(Collection);element();isEmpty();iterator();offer(E);peek();poll();remove();remove(Object);removeAll(Collection);retainAll(Collection);size();toArray();toArray(T[]);toString()
10000;29;946;22562;31653;24972;22640;3040;10143;14;14;5180;34246;14;18812;18821;26358;84252;81688;14;1015;5812;185617
20000;19;1665;42890;57375;71251;45554;6199;20162;14;14;10194;58518;14;38256;38240;49046;165638;158381;14;2442;12342;348778
30000;20;1670;60042;75647;73786;71262;8996;34299;14;14;14751;75443;14;56987;57003;69789;248400;239487;14;3429;18734;545198
40000;22;2853;79064;103307;116164;99428;11798;45941;15;14;19668;102798;14;76322;76319;94593;327699;316777;14;4832;26923;616872
50000;24;2498;98076;125744;114110;127978;13764;56082;16;16;24815;126402;16;92938;92976;116562;408683;361841;16;6323;31710;792232
60000;26;2667;117125;149625;136920;154588;16367;66420;18;18;29399;149452;18;108833;108838;142397;495160;440543;17;7117;37988;1008465
70000;28;5430;137668;182372;161168;181309;17826;77530;19;20;33757;181745;19;127350;124836;168963;574873;531931;18;8932;45714;1163613
80000;28;5435;159006;208592;181798;208867;20378;89258;21;21;36660;205108;20;144815;147167;191865;651450;614336;20;9238;50508;1325958
90000;29;5446;177052;227556;206674;233182;22278;99678;22;22;40035;228966;21;160278;163728;213020;732542;667693;20;11252;57252;1679992
100000;31;5453;196020;250874;224782;258497;24452;111272;25;23;44665;254012;23;180958;181245;231551;813035;723540;22;11329;62440;1855826
