"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,23035.973002,6169.568120,"ns/op",10000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,50455.272055,117027.870630,"ns/op",20000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,71162.615249,77562.725771,"ns/op",30000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,95082.329174,207267.584851,"ns/op",40000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,113150.632314,11410.724840,"ns/op",50000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,143726.195918,205541.091794,"ns/op",60000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,158744.104602,200192.804600,"ns/op",70000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,188431.455756,248090.387162,"ns/op",80000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,216521.299077,230862.908500,"ns/op",90000
"customqueuev2.CustomQueueBenchmark.testAdd","avgt",1,3,224797.850516,14589.474703,"ns/op",100000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,22231.819998,367.975649,"ns/op",10000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,43545.475379,5569.975797,"ns/op",20000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,64519.197416,2882.925722,"ns/op",30000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,91564.863121,95926.243789,"ns/op",40000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,120970.602419,211535.085187,"ns/op",50000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,148934.300883,310998.299367,"ns/op",60000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,182058.435293,373913.515248,"ns/op",70000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,219891.380083,108182.048254,"ns/op",80000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,249449.481193,43941.418480,"ns/op",90000
"customqueuev2.CustomQueueBenchmark.testAddAll","avgt",1,3,305148.652552,595823.679339,"ns/op",100000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,23589.316172,34984.671398,"ns/op",10000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,44157.071765,7214.553907,"ns/op",20000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,66396.560951,27687.784895,"ns/op",30000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,90016.863358,96335.010247,"ns/op",40000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,120887.769390,199882.849706,"ns/op",50000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,144753.908822,199452.146551,"ns/op",60000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,175346.833015,244482.509981,"ns/op",70000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,207887.308857,84130.998402,"ns/op",80000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,233410.398406,139443.001877,"ns/op",90000
"customqueuev2.CustomQueueBenchmark.testClear","avgt",1,3,275504.328214,458794.002374,"ns/op",100000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,30.539359,152.585259,"ns/op",10000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,33.655287,61.850422,"ns/op",20000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,80.016709,812.841414,"ns/op",30000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,67.101500,631.780354,"ns/op",40000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,34.717755,42.981591,"ns/op",50000
"customqueuev2.CustomQueueBenchmark.testConstructorCapacity","avgt",1,3,32.492233,100.939589,"ns/op",60000
